"Invalidez","Jubilación","Muerte","Total"
207871.110154054,2559894.19133386,30954.5200764499,2798719.82156436
10774542.9620989,123772764.947178,1599409.72092285,136146717.6302
34452636.9160536,387310126.831464,4802905.0678007,426565668.815319
55403237.1066071,632706573.729298,8178662.11911423,696288472.95502
102489336.059976,1239793364.12506,14783401.7961763,1357066101.98121
97120436.6821681,1258457456.09074,16250464.6882857,1371828357.4612
117397547.859072,1516567228.5166,19819939.8915914,1653784716.26726
228964239.561478,2867765658.2919,39120298.8759222,3135850196.7293
245084139.124595,3454955263.49115,44051776.4395376,3744091179.05528
313190955.402191,4451854055.53166,56661081.8103195,4821706092.74417
384643456.4091,5536870089.72472,70871611.1308003,5992385157.26462
416453863.240097,5905184558.97409,77779180.7754152,6399417602.9896
493168643.007389,6690497403.04761,87166291.9311479,7270832337.98615
588660104.41711,7864532933.23341,103077787.459123,8556270825.10964
611801777.586627,8571927103.96649,116487800.821016,9300216682.37413
528719482.500223,7302978952.03685,102513568.202603,7934212002.73968
628745870.430157,8531226458.60243,122133686.356018,9282106015.3886
754956876.250644,10361700828.7603,147644170.300437,11264301875.3113
722283667.064928,9798098352.41475,139354528.33652,10659736547.8162
692136656.436846,9601271604.20415,130072985.261664,10423481245.9027
716521405.190313,9414573656.20993,134312154.79809,10265407216.1983
631018061.575691,9038599993.22448,125444219.275331,9795062274.0755
681999532.582087,8965631901.08127,131097973.661583,9778729407.32494
649907232.21469,8871973661.91208,131433708.597565,9653314602.72433
823924834.583768,10925787813.7408,163680192.282504,11913392840.6071
576989045.791169,7617869924.50102,115816292.140499,8310675262.43269
487270892.243386,6877634301.30522,97198564.0745008,7462103757.6231
541716208.876859,7249223197.91732,105910331.850732,7896849738.64491
407904905.404479,6172793101.39356,89279240.3479115,6669977247.14595
237422467.032647,3567498814.37216,52004096.8555249,3856925378.26033
294234288.721514,4574791950.75111,65128947.6873157,4934155187.15994
395224291.41836,6032968190.22372,83899085.8165652,6512091567.45865
363962709.145518,6171099427.81154,85718386.3137945,6620780523.27085
342964804.780031,6227538150.19594,83140100.489251,6653643055.46523
310490582.067375,5662322872.76947,77750533.8939481,6050563988.73079
341197319.475966,6284429592.68545,79292173.6998796,6704919085.8613
349851722.010738,6918867689.96587,89895896.7036999,7358615308.68031
301032757.878229,6605779679.92286,83288188.0560121,6990100625.8571
254701019.456712,6634715988.33942,85987340.3805041,6975404348.17663
271650830.652828,7647634788.51118,83812108.9243461,8003097728.08835
154788040.09499,5797795011.82196,62136236.3038697,6014719288.22082
147763518.591283,6356209472.07273,66439633.8658559,6570412624.52987
76921646.3284857,4813018117.21438,45321322.2359606,4935261085.77883
83425140.3911186,7381034456.92332,67562352.8891377,7532021950.20358
23081939.3132708,3859634428.68051,30508319.7416083,3913224687.73539
10270032.2558931,3598542891.94741,25431691.6333729,3634244615.83668
0,1991728938.02311,9880528.78560244,2001609466.80871
0,232972214.227948,935520.577443076,233907734.805391
0,595937897.36678,3119419.24176877,599057316.608549
0,638680295.158738,4125022.08904741,642805317.247785
0,537239372.617892,4394639.39970378,541634012.017596
0,144251864.801587,2099863.11609653,146351727.917684
0,29492634.4749587,654377.994772719,30147012.4697314
0,253869416.674822,5967805.65048266,259837222.325304
