"Invalidez","Jubilación","Muerte","Total"
10514740.6545327,95145211.6169988,5656662.12547641,111316614.397008
21233923.7551625,201715549.941306,11390512.58499,234339986.281459
45918667.4698793,440704568.892526,25120462.4379869,511743698.800392
119446663.215722,1120323909.54917,62322103.1210674,1302092675.88596
179418461.878637,1831139783.51665,99938523.6499604,2110496769.04525
248922853.36372,2561345083.889,143620001.939822,2953887939.19255
359849723.783833,3886743411.45294,210199306.939634,4456792442.17641
472773987.499952,5022238280.03237,269736665.4623,5764748932.99462
594065833.065841,6365978612.43879,331572336.599223,7291616782.10385
748031502.022705,8335056879.97331,422499518.064064,9505587900.06008
704613616.874965,7642298583.63324,425796707.412864,8772708907.92107
848100268.114109,9143463824.56136,479858902.707207,10471422995.3827
1160938243.90774,12270158949.8022,645998615.771738,14077095809.4817
1230862530.65793,13134052828.0502,680504995.896226,15045420354.6044
1327156404.6653,13508461704.6092,712625088.517206,15548243197.7917
1341992314.77639,14170200173.9698,728594148.880145,16240786637.6264
1328235884.44402,15705494815.8047,817893217.954901,17851623918.2036
1565623215.68915,16994005695.5994,866296849.903641,19425925761.1922
1372980859.21332,15069459884.381,756479362.008311,17198920105.6026
1300960053.9878,14123428042.6182,689200768.105323,16113588864.7113
1335614357.63295,14686255149.8359,703321191.116052,16725190698.5849
1216740891.95712,12840235056.9371,592299651.087502,14649275599.9818
934793067.06719,10910419568.2022,486119636.670662,12331332271.94
905784420.23139,10777133946.559,479982998.298864,12162901365.0892
946668290.127045,11145113371.6446,482826284.31791,12574607946.0896
968279915.207236,10444575783.9986,440730869.493294,11853586568.6992
895724032.28173,10677320972.3044,424398215.181353,11997443219.7675
691200595.703892,8541284634.21436,333250735.194949,9565735965.1132
492718273.914015,5845286620.34072,207916005.190019,6545920899.44475
484698480.002143,6372570396.06093,219515824.2815,7076784700.34457
416863171.601259,5722385416.78987,189136755.997737,6328385344.38886
532112795.586431,7240219750.42005,218630216.175079,7990962762.18156
498946587.499489,7698432641.03072,213518383.640965,8410897612.17118
447496528.898333,7137077000.42489,177447502.00324,7762021031.32647
428476830.433049,7853189871.38803,173468237.460316,8455134939.2814
364213049.147844,7274271433.2474,134958527.883522,7773443010.27876
334353287.168772,7832903676.24967,139816309.854031,8307073273.27247
339416555.788676,10010536045.2329,148544360.881576,10498496961.9031
266772086.949619,9025559010.09902,108547312.601837,9400878409.65048
199156129.029195,9768486597.02127,101422872.162829,10069065598.2133
125156149.916332,8800617524.52143,64117208.8073549,8989890883.24512
82739949.976192,9143995571.47227,52417549.867823,9279153071.31628
41358776.3455923,6833480583.38121,27191003.9204292,6902030363.64723
18509704.0966588,4216907917.4243,9416105.24152447,4244833726.76249
3930159.00044314,2471606609.14074,2871306.28389456,2478408074.42508
2203273.32463996,1977744400.20367,3396253.71321362,1983343927.24153
0,441196894.714737,1374761.9283192,442571656.643057
0,353721167.877831,1542866.73280673,355264034.610637
0,376545108.351132,2347998.73964348,378893107.090775
