"Antiguedad","Hombres","Mujeres"
0,1,1
1,1.15538240210089,1.14275481005251
2,1.30842595135693,1.27153590101419
3,1.41595844900755,1.43547738513505
4,1.60270186417497,1.54972617320895
5,1.60993819053991,1.65548474732369
6,1.84133141284681,1.82878964612858
7,1.97327959633667,1.80765664006811
8,1.92905022346494,1.97942021478719
9,2.11640401894737,2.09114946230621
10,1.89038534989589,2.00494295225103
11,2.21999000588656,2.0881807645333
12,2.325495500414,2.31402507859466
13,2.11580352162283,2.25712616554602
14,2.20164930342051,2.26633239853546
15,2.46626045536593,2.39412152896404
16,2.410668784195,2.76957095497861
17,2.64818931119605,2.81203921053054
18,2.8874257211973,2.81891899252804
19,3.19143191806857,3.05514828244617
20,3.29968762905276,3.03057073713185
21,3.93095159906834,3.18376821443226
22,3.39738094485214,3.3966823519122
23,3.87058563635009,3.39969476952404
24,3.81113584847858,3.14188531660509
25,4.57471749496624,3.7012964543448
26,3.80464223167086,3.34207729107528
27,4.52168015503021,3.52917931209419
28,4.81271101455241,3.15914907841655
29,3.59509590118807,3.52289256915897
30,4.93399544393362,4.06084349380713
31,5.18800372715456,4.41196259992573
32,4.06568190138622,3.57309160550741
33,3.65732635887108,4.48197883155342
34,4.05175129550143,3.90811591912222
35,4.04918698723223,5.17792258275075
36,3.92716433052592,4.42832522981545
37,5.10290909558357,4.19711572183812
38,3.26336098738345,2.56157249844297
39,3.65098118557458,10.2861235943795
40,4.91895238821874,5.13785216986748
41,4.43466597981251,3.8045171923455
42,3.59051533416275,4.61059281244501
43,4.55153352852184,7.19215096122797
44,3.11341450446578,9.77370911001096
45,1.95075286381644,9.77370911001096
46,5.20257374990386,9.77370911001096
